ALPHA,target_radius,MODE,loss_neighbourhood,loss_target,loss_base
5.0,10.0,Base,0.0004207798920106143,0.0008862417889758945,3.5836769711750094e-06
5.0,10.0,STC-modified,0.000494639331009239,0.0005094407242722809,5.7824574469123036e-05
5.0,10.0,Base_Norm,0.00046335457591339946,0.0009884092723950744,4.467465714697028e-06
5.0,5.0,Base,0.0004041799402330071,0.0008559374837204814,9.005876563605852e-06
5.0,5.0,STC-modified,0.000494639331009239,0.0005094407242722809,5.7824574469123036e-05
5.0,5.0,Base_Norm,0.0004636613593902439,0.0008431554306298494,3.144683887512656e-06
5.0,2.0,Base,0.0004584064881782979,0.0008413908653892577,8.451569556200411e-06
5.0,2.0,STC-modified,0.000494639331009239,0.0005094407242722809,5.7824574469123036e-05
5.0,2.0,Base_Norm,0.0004437449388206005,0.0006453731330111623,1.4783799088036176e-05
5.0,1.5,Base,0.0005170721560716629,0.0008674654527567327,1.3035764823143836e-05
5.0,1.5,STC-modified,0.000494639331009239,0.0005094407242722809,5.7824574469123036e-05
5.0,1.5,Base_Norm,0.00043023741454817355,0.0006081733154132962,3.054593980778009e-05
1.0,10.0,Base,0.0004372909024823457,0.0007955163600854576,7.050910426187329e-06
1.0,10.0,STC-modified,0.0004858905740547925,0.0005768379778601229,4.778303991770372e-05
1.0,10.0,Base_Norm,0.00045991147635504603,0.0009261657251045108,1.3807965615342255e-06
1.0,5.0,Base,0.00040555509622208774,0.0007585783023387194,5.826144388265675e-06
1.0,5.0,STC-modified,0.0004858905740547925,0.0005768379778601229,4.778303991770372e-05
1.0,5.0,Base_Norm,0.00045556167606264353,0.000841614615637809,1.678501917012909e-06
1.0,2.0,Base,0.0004256173560861498,0.0007724128663539886,1.4241694771044422e-05
1.0,2.0,STC-modified,0.0004858905740547925,0.0005768379778601229,4.778303991770372e-05
1.0,2.0,Base_Norm,0.0004339320003055036,0.0006255488260649145,1.0981810191879049e-05
1.0,1.5,Base,0.0004804446070920676,0.0008490855689160526,1.3081030374451075e-05
1.0,1.5,STC-modified,0.0004858905740547925,0.0005768379778601229,4.778303991770372e-05
1.0,1.5,Base_Norm,0.00043977535096928477,0.0006141058402135968,2.5402054234291427e-05
0.2,10.0,Base,0.000476512941531837,0.0009210091084241867,1.5638926242900197e-06
0.2,10.0,STC-modified,0.0005008924636058509,0.0006373732467181981,1.7044058040482923e-05
0.2,10.0,Base_Norm,0.0004940252401866019,0.0009254208416678011,1.063851527760562e-06
0.2,5.0,Base,0.00044666550820693374,0.000826250936370343,3.0417952530115144e-06
0.2,5.0,STC-modified,0.0005008924636058509,0.0006373732467181981,1.7044058040482923e-05
0.2,5.0,Base_Norm,0.000490669219288975,0.0009457781561650336,7.188193080764904e-07
0.2,2.0,Base,0.0003701991809066385,0.0006281831301748753,1.7699037925922312e-05
0.2,2.0,STC-modified,0.0005008924636058509,0.0006373732467181981,1.7044058040482923e-05
0.2,2.0,Base_Norm,0.00043982596253044903,0.0006611861754208803,1.269187850994058e-05
0.2,1.5,Base,0.0003784248256124556,0.0006732788169756532,1.6896470697247423e-05
0.2,1.5,STC-modified,0.0005008924636058509,0.0006373732467181981,1.7044058040482923e-05
0.2,1.5,Base_Norm,0.0004262204165570438,0.0006413193768821657,1.7965783627005294e-05
0.0,10.0,Base,0.0005546453176066279,0.0010022687492892146,1.835623777424189e-07
0.0,10.0,STC-modified,0.0007223387365229428,0.0007344917394220829,1.4148788068268914e-05
0.0,10.0,Base_Norm,0.0005457226070575416,0.0010433954885229468,5.228848181104695e-07
0.0,5.0,Base,0.0005088333273306489,0.0009137958404608071,1.124018353948486e-06
0.0,5.0,STC-modified,0.0007223387365229428,0.0007344917394220829,1.4148788068268914e-05
0.0,5.0,Base_Norm,0.0005220823222771287,0.0009506150963716209,9.448072546547337e-07
0.0,2.0,Base,0.0004011554701719433,0.0006448819185607135,1.9071625501965173e-05
0.0,2.0,STC-modified,0.0007223387365229428,0.0007344917394220829,1.4148788068268914e-05
0.0,2.0,Base_Norm,0.0004363356565590948,0.0006836870452389121,1.2744590094371233e-05
0.0,1.5,Base,0.0003751110634766519,0.0006518038571812212,1.7529926481074654e-05
0.0,1.5,STC-modified,0.0007223387365229428,0.0007344917394220829,1.4148788068268914e-05
0.0,1.5,Base_Norm,0.00042130963993258774,0.0006351580959744751,1.5776853615534492e-05
